target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.52,-21.92222222222,3,55317.8420276,1260.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.52,-21.92222222222,3,55317.86134463,300.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.52,-21.92222222222,3,55317.8420276,1560.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.52,-21.92222222222,3,55317.8420276,1260.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.52,-21.92222222222,3,55317.86134463,300.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.52,-21.92222222222,3,55317.8420276273,1260.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.52,-21.92222222222,3,55317.8613446412,300.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5287459453,-21.91908796731,3,52041.1376712963,7.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5287459453,-21.91908796731,3,52041.1390601852,40.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5287459453,-21.91908796731,3,52041.1411434838,40.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5287459453,-21.91908796731,3,52041.1425324074,160.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5287459453,-21.91908796731,3,52041.1453101852,160.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.528675581,-21.91886913631,3,53814.7925468403,1000.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.528675581,-21.91886913631,3,53814.8057412847,1000.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.528675581,-21.91886913631,3,53814.8196287037,50.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.528675581,-21.91886913631,3,53814.821712037,50.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286756958,-21.91886947641,3,53814.8592135069,700.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286756958,-21.91886947641,3,53814.8689357292,700.0,34
NGC6864,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286756958,-21.91886947641,3,53814.8793523958,900.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.6918107639,5.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.6931996528,100.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.6952829861,100.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.6973663194,100.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.701534456,700.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5287495893,-21.91967132334,3,54921.7133400116,700.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.528806266,-21.9195883923,3,54921.7557011227,700.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.7675052083,100.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.770284456,1300.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.8223677894,1200.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.8383400116,1200.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.8883400116,1200.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.9043122338,1200.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.9550066782,1200.0,34
NGC6864-M75,STELLAR-CLUSTER-GLOBULAR-CLUSTER,301.5286929127,-21.91975425436,3,54921.9709789005,1200.0,34
NGC1068-KNT1-OFFSET,GALAXY-STARBURST-KNOT,40.72434416667,-0.002811777777778,2,49253.8053466782,1680.0,32
SN2018IVC,EXT-STAR-SUPERNOVA-SUPERNOVA-TYPE-IA,40.67204166667,-0.00880833333332,3,58665.13426913,840.0,6
SN2018IVC,EXT-STAR-SUPERNOVA-SUPERNOVA-TYPE-IA,40.67204166667,-0.00880833333332,3,58665.15085505,840.0,6
SN2018IVC,EXT-STAR-SUPERNOVA-SUPERNOVA-TYPE-IA,40.67204166667,-0.00880833333332,3,58665.13426913,1680.0,6
SN2018IVC,STAR-SUPERNOVA,40.67204166667,-0.00880833333332,3,59185.03439105,710.0,33
SN2018IVC,STAR-SUPERNOVA,40.67204166667,-0.00880833333332,3,59185.02822179,780.0,33
SN2018IVC,STAR-SUPERNOVA,40.67204166667,-0.00880833333332,3,59185.02822179,1490.0,33
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60297.56782165,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60297.63388684,2356.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60297.56782165,4720.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60363.16623819,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60363.16623819,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60314.31598165,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60314.38201165,2356.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60314.31598165,4720.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60319.12946641,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60319.12946641,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60323.34991789,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60323.34991789,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60365.2749767,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60365.2749767,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60328.29519567,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60328.36123715,2356.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60328.29519567,4720.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60330.33895715,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60330.33895715,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60368.17473374,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60368.17473374,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60342.46783456,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60342.53386456,2356.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60342.46783456,4720.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60350.11547448,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60350.11547448,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60357.16913189,2364.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60357.23515041,2356.0,17
NGC-1068,GALAXY-SEYFERT-SPIRAL,40.66987916667,-0.01328888888889,3,60357.16913189,4720.0,17
NGC1068,GALAXY-DISK-SPIRAL-STAR-FORMING-REGION,40.66962,-0.01328888888889,3,60569.73526292,2075.0,8
NGC1068,GALAXY-DISK-SPIRAL-STAR-FORMING-REGION,40.66962,-0.01328888888889,3,60569.729337,1000.0,8
NGC1068,GALAXY-DISK-SPIRAL-STAR-FORMING-REGION,40.66962,-0.01328888888889,3,60569.72342255,1050.0,8
