target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
ANY,UNIDENTIFIED_PARALLEL_FIELD,148.3377024527,69.65834947924,3,55393.44434354,735.0,137
MESSIER-082-A,GALAXY_STARBURST_STAR_FORMING_REGION,148.9715416667,69.68023055556,3,53707.21715941,1132.0,100
MESSIER-082-A,GALAXY_STARBURST_STAR_FORMING_REGION,148.9715416667,69.68023055556,3,53707.21236756,840.0,100
MESSIER-082-A,GALAXY_STARBURST_STAR_FORMING_REGION,148.9715416667,69.68023055556,3,53707.21595571,140.0,100
MESSIER-082-A,GALAXY_STARBURST_STAR_FORMING_REGION,148.9715416667,69.68023055556,3,53707.21236756,2112.0,100
MESSIER-082-A,GALAXY_STARBURST_STAR_FORMING_REGION,148.9715416667,69.68023055556,3,53710.66396497,4736.0,100
MESSIER-082-A,GALAXY_STARBURST_STAR_FORMING_REGION,148.9715416667,69.68023055556,3,53710.66396497,4736.0,100
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.72220935,450.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.7295475,340.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.73534474,1100.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.71834379,175.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.71834379,2065.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.78880676,450.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.79614453,340.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.80194305,1100.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.78494083,175.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.78494083,2065.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.85542713,450.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.86276491,340.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.86856342,1100.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.8515612,175.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.8515612,2065.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.92202416,450.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.92936231,340.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.93516083,1100.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.91815861,175.0,59
M82-POS2,GALAXY_SEYFERT,148.9254333333,69.69828333333,3,53821.91815861,2065.0,59
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55152.21056496,1835.001111,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55152.21947718,1842.462396,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55152.21056496,3677.463507,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55152.26849405,1070.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55152.26041516,1050.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55152.32423479,360.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55152.26041516,2480.0,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55152.82054829,1197.693786,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55152.84956459,2397.697266,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55152.82054829,3595.391052,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55152.80919998,2455.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55152.79836665,2465.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55152.79836665,4920.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55150.0474522,30.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55150.08298479,30.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55149.9953922,2850.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55150.05836665,2760.0,94
MESSIER-082,GALAXY_STARBURST,148.9725,69.67388888889,3,55149.9953922,5670.0,94
MESSIER-082-IR-POS-1,GALAXY_STARBURST,148.9333333333,69.67833333333,3,55197.3787085,1195.385742,94
MESSIER-082-IR-POS-1,GALAXY_STARBURST,148.9333333333,69.67833333333,3,55197.37373184,2395.387572,94
MESSIER-082-IR-POS-1,GALAXY_STARBURST,148.9333333333,69.67833333333,3,55197.37373184,3590.773314,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55197.36531167,1665.0,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55197.35746464,1620.0,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55197.35174686,1070.0,94
MESSIER-082-IR-NUC,GALAXY_STARBURST,148.9654166667,69.67916666667,3,55197.35174686,4355.0,94
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56626.42378063,13249.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56626.42378063,13249.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56626.68910507,13249.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56626.68910507,13249.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56628.27683618,13249.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56628.27683618,13249.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56628.54915137,6553.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56628.54915137,6553.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56626.10761174,2937.0,101
MESSIER-082,GALAXY_STARBURST_WIND,148.9704291667,69.67443888889,3,56626.10761174,2937.0,101
SN-2014J,STAR_SUPERNOVA_TYPE_IA,148.9255,69.67386111111,3,56967.01716004,390.0,122
SN-2014J,STAR_SUPERNOVA_TYPE_IA,148.9255,69.67386111111,3,56967.02945189,390.0,122
SN-2014J,STAR_SUPERNOVA_TYPE_IA,148.9255,69.67386111111,3,56967.04170856,390.0,122
SN-2014J,STAR_SUPERNOVA_TYPE_IA,148.9255,69.67386111111,3,56967.05430115,80.0,122
