#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
calibration,HST,CALSTIS,STIS/CCD,HST,MIRVIS,Optical,DARK,,obvm3jifq,81.01703740409,-24.45212795543,2,56111.0145439815,60,56111.18396987,CAL/STIS,246.661965732631
science,HST,HAP-SVM,WFPC2/PC,HAP,F218W,UV,NGC1904,,hst_6095_04_wfpc2_pc_f218w_u2vo04,81.04416666667,-24.52416666667,3,50004.12866966,1500,50370.6888888,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F439W,Optical,NGC1904,,hst_6095_04_wfpc2_pc_f439w_u2vo04,81.04416666667,-24.52416666667,3,50004.12102933,360,50370.6826388,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F555W,Optical,NGC1904,,hst_6095_04_wfpc2_pc_f555w_u2vo04,81.04416666667,-24.52416666667,3,50004.1175571,47,50370.6729166,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F160BW,UV,NGC1904,,hst_6607_02_wfpc2_pc_f160bw_u3ki02,81.04416666667,-24.52416666667,3,50556.13142025,3300,50921.3986111,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F336W,Optical,NGC1904,,hst_6607_02_wfpc2_pc_f336w_u3ki02,81.04416666667,-24.52416666667,3,50556.24530914,4400,50921.6208333,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,F555W,Optical,NGC1904,,hst_6607_02_wfpc2_pc_f555w_u3ki02,81.04416666667,-24.52416666667,3,50556.11544658,306,50921.3861111,HAP,0
science,HST,HAP-SVM,WFPC2/PC,HAP,detection,,NGC1904,,hst_6607_02_wfpc2_pc_total_u3ki02,81.04416666667,-24.52416666667,3,50556.11544658,8006,50921.6208333,HAP,0
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC1904,STELLAR CLUSTER;,u2vo0401t,81.05322445973,-24.52661573162,3,50004.1175570949,7,50370.67038185,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC1904,STELLAR CLUSTER;,u2vo0402t,81.05322445973,-24.52661573162,3,50004.1189459838,40,50370.67359947,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F439W,OPTICAL,NGC1904,STELLAR CLUSTER;,u2vo0403t,81.05322445973,-24.52661573162,3,50004.1210293171,40,50370.67679389,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F439W,OPTICAL,NGC1904,STELLAR CLUSTER;,u2vo0404t,81.05322445973,-24.52661573162,3,50004.122418206,160,50370.67995359,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F439W,OPTICAL,NGC1904,STELLAR CLUSTER;,u2vo0405t,81.05322445973,-24.52661573162,3,50004.1251959838,160,50370.68314805,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F218W,UV,NGC1904,STELLAR CLUSTER;,u2vo0406t,81.05322445973,-24.52661573162,3,50004.1286696759,500,50370.6863309,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F218W,UV,NGC1904,STELLAR CLUSTER;,u2vo0407t,81.05322445973,-24.52661573162,3,50004.1363085648,1000,50370.68957167,GO,0
calibration,HST,CALWFPC2,WFPC2/WFC,HST,F160BW,UV,EARTH-CALIB,,u2xk0e01t,81.05322445973,-24.52661573162,2,50004.1585293171,1000,50004.692199,CAL/WFC,0
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC1904,"STELLAR CLUSTER, GLOBULAR CLUSTER",u3ki0201m,81.03577082022,-24.52093310058,3,50556.1154466088,100,50921.37813649,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC1904,"STELLAR CLUSTER, GLOBULAR CLUSTER",u3ki0202m,81.03577082022,-24.52093310058,3,50556.1182243866,100,50921.38466427,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC1904,"STELLAR CLUSTER, GLOBULAR CLUSTER",u3ki0203m,81.03577082022,-24.52093310058,3,50556.1210021643,100,50921.37876155,GO,0
science,HST,CALWFPC2,WFPC2/PC,HST,F555W,OPTICAL,NGC1904,"STELLAR CLUSTER, GLOBULAR CLUSTER",u3ki0204m,81.03557845831,-24.52084399884,3,50556.1265577199,3,50921.3777777,GO,0
